file,score
1,27.848312377929688
2,26.101333618164062
3,25.124847412109375
4,25.983383178710938
5,26.29327392578125
6,26.69207763671875
7,26.220672607421875
8,25.239578247070312
9,28.695755004882812
10,26.47113037109375
11,26.376296997070312
12,27.290756225585938
13,25.096023559570312
14,29.992568969726562
15,27.398147583007812
16,29.7366943359375
17,30.0504150390625
18,27.269027709960938
19,27.46185302734375
20,28.1141357421875
21,25.675888061523438
22,26.577957153320312
23,27.666168212890625
24,25.74822998046875
25,26.514312744140625
26,27.028244018554688
27,26.2606201171875
28,25.385910034179688
29,27.698760986328125
30,24.255661010742188
31,26.29931640625
32,24.578750610351562
33,25.23529052734375
34,27.193359375
35,26.789199829101562
36,25.075714111328125
37,24.523666381835938
38,24.875564575195312
39,26.591094970703125
40,25.444061279296875
41,26.060760498046875
42,22.78765869140625
43,25.597000122070312
44,25.817916870117188
45,25.417877197265625
46,24.77410888671875
47,25.915542602539062
48,26.285385131835938
49,23.642654418945312
50,25.583221435546875
51,24.797286987304688
52,26.17742919921875
53,25.81646728515625
54,25.700042724609375
55,24.947494506835938
56,24.923660278320312
57,25.344436645507812
58,24.6990966796875
59,25.62103271484375
60,23.63092041015625
61,26.322845458984375
62,25.998977661132812
63,25.239532470703125
64,25.405517578125
65,27.031829833984375
66,26.484329223632812
67,27.050735473632812
68,25.344589233398438
69,24.899765014648438
70,24.9202880859375
71,25.72381591796875
72,27.518203735351562
73,25.599441528320312
74,26.2227783203125
75,25.569442749023438
76,26.298660278320312
77,25.542709350585938
78,27.202316284179688
79,26.608779907226562
80,26.084915161132812
81,24.830184936523438
82,27.014495849609375
83,24.827224731445312
84,24.88287353515625
85,26.172332763671875
86,25.780502319335938
87,23.614761352539062
88,25.780441284179688
89,26.76385498046875
90,25.316162109375
91,24.072509765625
92,25.816696166992188
93,27.60101318359375
94,25.178512573242188
95,26.2760009765625
96,25.7418212890625
97,28.267318725585938
98,24.972213745117188
99,25.628128051757812
100,26.981033325195312
101,25.8782958984375
102,26.387222290039062
103,25.52423095703125
104,25.39569091796875
105,25.673294067382812
106,24.420440673828125
107,23.683837890625
108,26.57537841796875
109,26.902511596679688
110,25.551254272460938
111,25.863265991210938
112,24.644378662109375
113,26.535430908203125
114,26.1529541015625
115,25.399490356445312
116,24.892730712890625
117,25.98468017578125
118,27.484588623046875
119,25.770233154296875
120,26.040786743164062
121,25.894195556640625
122,26.001205444335938
123,24.603179931640625
average,25.969600646476437
