file,score
1,16.160781860351562
2,17.50531005859375
3,20.35223388671875
4,18.910354614257812
5,27.257431030273438
6,29.644241333007812
7,35.09797668457031
8,26.841827392578125
9,21.718063354492188
10,23.64678955078125
11,17.858642578125
12,25.722640991210938
13,37.04469299316406
14,30.346038818359375
15,34.71037292480469
16,34.64616394042969
17,32.81927490234375
18,23.643997192382812
19,35.36976623535156
20,34.53034973144531
21,27.143951416015625
22,24.636016845703125
23,24.753936767578125
24,25.811203002929688
25,26.897308349609375
26,27.266616821289062
27,23.456893920898438
28,28.120223999023438
29,28.456192016601562
30,23.829544067382812
31,28.668716430664062
32,22.22796630859375
33,25.138442993164062
34,20.905471801757812
35,20.5592041015625
36,21.356704711914062
37,19.222869873046875
38,18.017074584960938
39,15.3519287109375
40,19.852081298828125
41,16.057754516601562
42,19.715682983398438
43,18.557083129882812
44,15.371978759765625
45,17.53466796875
46,18.71197509765625
47,20.70709228515625
48,17.541122436523438
49,17.103759765625
50,20.043853759765625
51,16.444854736328125
52,17.95782470703125
53,18.6820068359375
54,16.809371948242188
55,26.2374267578125
56,19.391021728515625
57,16.52471923828125
58,18.357345581054688
59,18.486007690429688
60,15.70599365234375
61,27.636871337890625
62,27.874649047851562
63,29.064834594726562
64,23.276153564453125
65,18.604095458984375
66,23.0750732421875
67,24.786163330078125
68,19.941879272460938
69,18.692489624023438
70,20.534637451171875
71,19.62158203125
72,20.491729736328125
73,18.220489501953125
74,18.360595703125
75,16.908096313476562
76,20.578506469726562
77,18.248870849609375
78,22.236618041992188
79,21.364013671875
80,17.921340942382812
81,21.09417724609375
82,19.3905029296875
83,18.83746337890625
84,20.063018798828125
85,24.450439453125
86,22.067214965820312
87,24.46966552734375
88,16.251968383789062
89,18.279251098632812
90,17.976242065429688
91,19.390899658203125
92,18.444442749023438
93,16.9122314453125
94,19.330612182617188
95,17.50115966796875
96,18.8619384765625
97,21.137893676757812
98,19.052001953125
99,15.571640014648438
100,15.8780517578125
101,21.738876342773438
102,19.909896850585938
103,18.823501586914062
104,18.32269287109375
105,18.309646606445312
106,21.789566040039062
107,16.954299926757812
108,17.569305419921875
109,21.132278442382812
110,20.029342651367188
111,21.724563598632812
112,19.195480346679688
113,21.060531616210938
114,19.492996215820312
115,20.604415893554688
116,22.185592651367188
117,26.459228515625
118,18.918426513671875
119,17.815338134765625
120,20.279373168945312
121,19.332382202148438
122,19.093841552734375
123,20.890609741210938
average,21.589207594956807
