file,score
1,24.4586181640625
2,27.638442993164062
3,25.82843017578125
4,25.357330322265625
5,26.653045654296875
6,29.283981323242188
7,24.926727294921875
8,25.152236938476562
9,26.602752685546875
10,28.1322021484375
11,31.9129638671875
12,32.90911865234375
13,31.696029663085938
14,28.37713623046875
15,24.505447387695312
16,24.38250732421875
17,26.242767333984375
18,23.271530151367188
19,31.074264526367188
20,27.912353515625
21,23.782028198242188
22,26.490310668945312
23,25.494049072265625
24,26.46221923828125
25,22.867324829101562
26,27.900833129882812
27,27.046798706054688
28,25.462478637695312
29,29.120254516601562
30,26.6798095703125
31,28.995956420898438
32,23.1646728515625
33,30.20086669921875
34,25.897476196289062
35,28.609024047851562
36,24.756668090820312
37,27.280853271484375
38,26.134719848632812
39,27.030609130859375
40,22.949111938476562
41,25.15753173828125
42,26.9296875
43,25.6424560546875
44,25.655593872070312
45,24.456680297851562
46,26.87493896484375
47,27.105514526367188
48,24.85955810546875
49,21.519821166992188
50,25.377777099609375
51,22.912811279296875
52,24.311599731445312
53,23.357666015625
54,26.74041748046875
55,25.72271728515625
56,27.491622924804688
57,23.667709350585938
58,24.043563842773438
59,28.55169677734375
60,31.151657104492188
61,20.015640258789062
62,21.606521606445312
63,25.419723510742188
64,24.620346069335938
65,24.783737182617188
66,23.405059814453125
67,25.933837890625
68,31.756622314453125
69,24.897476196289062
70,24.01702880859375
71,24.4072265625
72,23.525787353515625
73,25.993682861328125
74,22.5238037109375
75,27.095657348632812
76,25.827239990234375
77,27.884536743164062
78,23.97662353515625
79,26.234939575195312
80,26.493911743164062
81,24.762405395507812
82,23.673614501953125
83,26.186386108398438
84,24.563446044921875
85,27.98834228515625
86,27.027236938476562
87,25.87371826171875
88,29.08013916015625
89,27.529769897460938
90,26.491912841796875
91,25.134658813476562
92,25.80389404296875
93,27.604507446289062
94,23.019378662109375
95,24.965530395507812
96,26.7889404296875
97,27.083084106445312
98,26.329132080078125
99,25.217254638671875
100,32.43406677246094
101,29.532745361328125
102,24.36474609375
103,26.982406616210938
104,28.769912719726562
105,25.684738159179688
106,24.50421142578125
107,26.897994995117188
108,26.694122314453125
109,24.90753173828125
110,28.24615478515625
111,26.422683715820312
112,27.62298583984375
113,27.284927368164062
114,22.368408203125
115,23.077346801757812
116,24.657546997070312
117,26.034317016601562
118,26.072509765625
119,24.984161376953125
120,24.502044677734375
121,24.875106811523438
122,25.766525268554688
123,27.319168090820312
average,26.095317809562374
